date,agentic
2018-01-02,1.0021060012106169
2018-01-03,1.0055336771690557
2018-01-04,1.0068681085837874
2018-01-05,1.013173564968565
2018-01-08,1.017095327113191
2018-01-09,1.0160908859010063
2018-01-10,1.0157107918348498
2018-01-11,1.0200023257080508
2018-01-12,1.0260648394053624
2018-01-15,1.0307213398510247
2018-01-16,1.0329675638661788
2018-01-17,1.030627208510555
2018-01-18,1.0312017110286997
2018-01-19,1.0278638366940185
2018-01-22,1.0289395585260748
2018-01-23,1.0382046897551531
2018-01-24,1.0383553314055203
2018-01-25,1.0433538124172355
2018-01-26,1.04542925835302
2018-01-29,1.0478869683777288
2018-01-30,1.0395823302521858
2018-01-31,1.0372554307753357
2018-02-01,1.0363709932493816
2018-02-02,1.0299885208693864
2018-02-05,1.0234291868640613
2018-02-06,1.0073811442822702
2018-02-07,0.9986549201718544
2018-02-08,0.9952374266712357
2018-02-09,0.9862060339180825
2018-02-12,0.9901131924837308
2018-02-13,0.9885592250256485
2018-02-14,0.993003271062186
2018-02-15,0.9954382659224543
2018-02-16,0.9961088776753491
2018-02-19,1.0095119272852928
2018-02-20,1.002822024473495
2018-02-21,1.0019045404475853
2018-02-22,1.0009699589800198
2018-02-23,1.0093528634447655
2018-02-26,1.0166236699856346
2018-02-27,1.0144138020226823
2018-02-28,1.0061267040186845
2018-03-01,1.0043918519719641
2018-03-02,1.0043040559723908
2018-03-05,1.0059588673470845
2018-03-06,1.0029129532496865
2018-03-07,0.9991173058357439
2018-03-08,1.002582056345639
2018-03-09,1.005963444990518
2018-03-12,1.0134839167528673
2018-03-13,1.0126754401214373
2018-03-14,1.0104982982609156
2018-03-15,1.0122033732098445
2018-03-16,1.0114177631986527
2018-03-19,1.006576754046184
2018-03-20,1.0068422595553592
2018-03-21,1.0071074379247364
2018-03-22,1.0052738719982903
2018-03-23,0.9899417948452434
2018-03-26,0.9985563846398631
2018-03-27,1.001293907546584
2018-03-28,0.9955500413460219
2018-03-29,0.9982172624881334
2018-03-30,1.0003173213062415
2018-04-02,0.995422149699416
2018-04-03,0.9938697972621293
2018-04-04,0.9927079692947821
2018-04-05,0.9980413366753663
2018-04-06,0.9933953728905406
2018-04-09,0.9953996655348556
2018-04-10,1.000906288450034
2018-04-11,1.0030329690315505
2018-04-12,1.0057666878067426
2018-04-13,1.0053334524454973
2018-04-16,1.0078735546723259
2018-04-17,1.0092373362198452
2018-04-18,1.0108429898193947
2018-04-19,1.0094400328281115
2018-04-20,1.0042604780253352
2018-04-23,1.001959546398713
2018-04-24,0.9991492769549271
2018-04-25,0.9947788929555632
2018-04-26,0.9999718064455261
2018-04-27,1.002985637621308
2018-04-30,1.0016587177282925
2018-05-01,1.0007751080846823
2018-05-02,0.996369072982721
2018-05-03,0.9953428550510555
2018-05-04,0.9953186116671916
2018-05-07,0.9952411582461502
2018-05-08,0.995446463342837
2018-05-09,0.9973602650179538
2018-05-10,1.0024551503728443
2018-05-11,1.0064672808753203
2018-05-14,1.005218257784169
2018-05-15,1.002255753926441
2018-05-16,0.9995214279598221
2018-05-17,1.001694532366835
2018-05-18,1.0026784454740014
2018-05-21,1.004888936848456
2018-05-22,1.0040052578973384
2018-05-23,1.0040951673147107
2018-05-24,1.0055042068978064
2018-05-25,1.0058090955867782
2018-05-28,1.0029918942372646
2018-05-29,1.0001587906912806
2018-05-30,0.9998764900054143
2018-05-31,1.001360539612726
2018-06-01,1.0024559773608346
2018-06-04,1.0031731197278453
2018-06-05,1.003674479834309
2018-06-06,1.0041035218479202
2018-06-07,1.0097684081576734
2018-06-08,1.0077070488185886
2018-06-11,1.0099280827535397
2018-06-12,1.011052373241056
2018-06-13,1.0100735730333417
2018-06-14,1.0083791130774873
2018-06-15,1.008672810150209
2018-06-18,1.0001126953637156
2018-06-19,0.9953752188565502
2018-06-20,0.9984033760534686
2018-06-21,0.9962445921046061
2018-06-22,0.9980704880624335
2018-06-25,0.9990632348879607
2018-06-26,0.9960376451633566
2018-06-27,0.9969132750893526
2018-06-28,0.9960391070042226
2018-06-29,0.9977737493361906
2018-07-02,0.9921168089949262
2018-07-03,0.9928300100966548
2018-07-04,0.9920228310050732
2018-07-05,0.9934346733602467
2018-07-06,0.9994899953356046
2018-07-09,1.0032951884885586
2018-07-10,1.006545671250575
2018-07-11,1.0001913043661603
2018-07-12,1.0028061621849214
2018-07-13,1.007067164391164
2018-07-16,1.0059562095600845
2018-07-17,1.0015947432931767
2018-07-18,1.00052971310553
2018-07-19,0.9996002207097844
2018-07-20,0.9987384160553042
2018-07-23,0.9933308139281464
2018-07-24,0.9954246839252997
2018-07-25,0.9969868773630929
2018-07-26,1.0018276417605831
2018-07-27,1.000619393957732
2018-07-30,0.9972864404926598
2018-07-31,1.0000917395070852
2018-08-01,1.000088614587991
2018-08-02,0.9965969349749294
2018-08-03,1.0010510057340958
2018-08-06,1.0014175980423359
2018-08-07,1.0042718488504978
2018-08-08,1.0038559321650655
2018-08-09,1.002559309511706
2018-08-10,1.0007929113283123
2018-08-13,0.9945009423556967
2018-08-14,0.9960350398000841
2018-08-15,0.9959299550436097
2018-08-16,0.9919112121629476
2018-08-17,0.9946203018386386
2018-08-20,0.9963143409818123
2018-08-21,1.001787630576835
2018-08-22,1.000193244166744
2018-08-23,1.0039781849134064
2018-08-24,1.0069034963046901
2018-08-27,1.0111275341055823
2018-08-28,1.0113945648407145
2018-08-29,1.0125017097602935
2018-08-30,1.0123920565363926
2018-08-31,1.0163997558753737
2018-09-03,1.0137640700350943
2018-09-04,1.0157371548256886
2018-09-05,1.0122458797311318
2018-09-06,1.0112049989604859
2018-09-07,1.0095777351463933
2018-09-10,1.0101401881514467
2018-09-11,1.0098054216591075
2018-09-12,1.0128291144781292
2018-09-13,1.0147281655136053
2018-09-14,1.0170121750454213
2018-09-17,1.0144693951461303
2018-09-18,1.0149444021938612
2018-09-19,1.0157836570717735
2018-09-20,1.01905071137559
2018-09-21,1.0209368170107407
2018-09-24,1.0196833195839123
2018-09-25,1.018885176334421
2018-09-26,1.018703613549397
2018-09-27,1.0214527347415463
2018-09-28,1.0198448104587412
2018-10-01,1.0217349944926661
2018-10-02,1.0196574925400765
2018-10-03,1.019455565562056
2018-10-04,1.0144718554366003
2018-10-05,1.009465608381159
2018-10-08,1.0048890269201358
2018-10-09,1.004531871835371
2018-10-10,0.9983856369343362
2018-10-11,0.9779238186303787
2018-10-12,0.983805028094363
2018-10-15,0.9808027193888842
2018-10-16,0.9846235834927537
2018-10-17,0.9900974182034851
2018-10-18,0.9835279180803482
2018-10-19,0.983619137830444
2018-10-22,0.9839349038978533
2018-10-23,0.9759344602125478
2018-10-24,0.9686029302070658
2018-10-25,0.9637791037934765
2018-10-26,0.9582749644288097
2018-10-29,0.9547608659824113
2018-10-30,0.9582194279222176
2018-10-31,0.9594942710649315
2018-11-01,0.9610200963505924
2018-11-02,0.9696705828180388
2018-11-05,0.9660625400942179
2018-11-06,0.9684008451344946
2018-11-07,0.9682723697067163
2018-11-08,0.9729737239696226
2018-11-09,0.9683024741891456
2018-11-12,0.962994013106438
2018-11-13,0.9568342168085998
2018-11-14,0.9522439187167124
2018-11-15,0.9582477885991176
2018-11-16,0.9606748259643787
2018-11-19,0.9626754785113633
2018-11-20,0.9532057649153011
2018-11-21,0.9512333203242653
2018-11-22,0.9512926036886081
2018-11-23,0.9479051241898435
2018-11-26,0.9515897313398998
2018-11-27,0.9553070738344459
2018-11-28,0.9593733705405961
2018-11-29,0.9594499043532243
2018-11-30,0.962016985980538
2018-12-03,0.9720493320300185
2018-12-04,0.9642056484309613
2018-12-05,0.9609490803667056
2018-12-06,0.9551510027167289
2018-12-07,0.9522362104104334
2018-12-10,0.9501998679408609
2018-12-11,0.9473157790840481
2018-12-12,0.9551009841727538
2018-12-13,0.9560279648432087
2018-12-14,0.9497902153462248
2018-12-17,0.9455557226847311
2018-12-18,0.9392851766223211
2018-12-19,0.9373275019450926
2018-12-20,0.930696941885859
2018-12-21,0.9271591453250551
2018-12-24,0.9207951644526671
2018-12-26,0.9206647877681221
2018-12-27,0.9319981679596233
2018-12-28,0.9333689225602645
2018-12-31,0.9347333275055856
2019-01-02,0.9311097391592756
2019-01-03,0.9276475584716044
2019-01-04,0.9371411766096235
2019-01-07,0.9456305411138561
2019-01-08,0.9471182655788157
2019-01-09,0.9534824008453712
2019-01-10,0.9556793151707902
2019-01-11,0.9576071487879849
2019-01-14,0.952765247915284
2019-01-15,0.9587030947068259
2019-01-16,0.9598146184226239
2019-01-17,0.960753689255202
2019-01-18,0.967517468671109
2019-01-21,0.968179817154268
2019-01-22,0.9638907126610001
2019-01-23,0.9655876938212975
2019-01-24,0.966356894874818
2019-01-25,0.9721648587990246
2019-01-28,0.9709010127059317
2019-01-29,0.9690739866393036
2019-01-30,0.9754298604062993
2019-01-31,0.9813635455955928
2019-02-01,0.9830919655905849
2019-02-04,0.9840619023616857
2019-02-05,0.9846867209808924
2019-02-06,0.9848624317525924
2019-02-07,0.9856838178988632
2019-02-08,0.9800211765826115
2019-02-11,0.9833216258742211
2019-02-12,0.9867780198476268
2019-02-13,0.9921231289009438
2019-02-14,0.9927996220103215
2019-02-15,0.9934275483505192
2019-02-18,0.9984610726789319
2019-02-19,0.999531063033081
2019-02-20,1.0031556629688985
2019-02-21,1.0024003458591968
2019-02-22,1.0018947696897496
2019-02-25,1.0054273856697646
2019-02-26,1.0009651863239137
2019-02-27,1.0042250672331672
2019-02-28,0.9999742704770761
2019-03-01,1.0007374292103113
2019-03-04,0.999911866173038
2019-03-05,0.9981738550950799
2019-03-06,0.997523646491669
2019-03-07,0.9930844091416063
2019-03-08,0.9905992876777264
2019-03-11,0.9947348154585514
2019-03-12,1.0008982997484477
2019-03-13,1.0027719676065994
2019-03-14,1.0032544605057963
2019-03-15,1.006252409515393
2019-03-18,1.0084855964240984
2019-03-19,1.007567637253009
2019-03-20,1.007616101005636
2019-03-21,1.0115460078118872
2019-03-22,1.0095318075875876
2019-03-25,1.001571781407718
2019-03-26,1.006664150237026
2019-03-27,1.0067709452739997
2019-03-28,1.0046958172082596
2019-03-29,1.0080780923472994
2019-04-01,1.0137196066350176
2019-04-02,1.0143703596485198
2019-04-03,1.019607472469706
2019-04-04,1.0203991444631642
2019-04-05,1.020352936316095
2019-04-08,1.0240720987820864
2019-04-09,1.0253273632373863
2019-04-10,1.0264088594906196
2019-04-11,1.0274735173927498
2019-04-12,1.0272743406364786
2019-04-15,1.0269345848469391
2019-04-16,1.0273196764211232
2019-04-17,1.028375778720369
2019-04-18,1.024434080809785
2019-04-19,1.0262085174197115
2019-04-22,1.02824529743885
2019-04-23,1.0303615359208245
2019-04-24,1.0306155498048828
2019-04-25,1.031188351583788
2019-04-26,1.0292155803202656
2019-04-29,1.0314207371628192
2019-04-30,1.0326235735609657
2019-05-01,1.031254986956162
2019-05-02,1.0296778111454234
2019-05-03,1.0287125375584254
2019-05-06,1.0278877756967448
2019-05-07,1.0233304967225785
2019-05-08,1.0192380416094085
2019-05-09,1.0124358721147884
2019-05-10,1.0141357224884329
2019-05-13,1.0063063924573148
2019-05-14,1.0052987557053037
2019-05-15,1.0104520402986565
2019-05-16,1.0114143558104882
2019-05-17,1.0099047695421925
2019-05-20,1.0080735124520184
2019-05-21,1.0075061964053829
2019-05-22,1.0060350115445713
2019-05-23,0.9992325353410769
2019-05-24,0.9968983044812653
2019-05-27,0.9969828172041243
2019-05-28,0.9983148681119016
2019-05-29,0.9935143655172719
2019-05-30,0.994381028821777
2019-05-31,0.9911992937952931
2019-06-03,0.9904715382917686
2019-06-04,0.994052130328253
2019-06-05,0.9980538537869446
2019-06-06,0.9992265711539386
2019-06-07,1.0021128864230013
